ID,Replicate,Count,Counter,Food,Genotype,Died,Fungus,Bacteria,Censored,Contaminated, Notes
62,2,12,Anne,HB101,N2,0,0,0,0,0,
62,3,21,Anne,HB101,N2,0,0,0,0,0,
62,4,14,Anne,HB101,N2,0,0,0,0,0,
62,5,15,Anne,HB101,N2,0,0,0,0,0,
62,6,14,Anne,HB101,N2,0,0,0,0,0,
63,1,4,Sarah,HB101,N2,0,1,0,0,1,"contaminated 8/24, fungus = off-lawn"
63,2,6,Sarah,HB101,N2,0,1,0,0,1,"contaminated 8/24, fungus = off-lawn"
63,3,3,Sarah,HB101,N2,0,1,0,0,1,"contaminated 8/24, fungus = off-lawn"
63,4,9,Sarah,HB101,N2,0,1,0,0,1,"contaminated 8/24, fungus = off-lawn"
63,5,9,Sarah,HB101,N2,0,1,0,0,1,"contaminated 8/24, fungus = off-lawn"
63,6,7,Sarah,HB101,N2,0,1,0,0,1,"contaminated 8/24, fungus = off-lawn"
64,1,27,Juliana,DA837,ERT250,0,0,0,0,0,"recorded as contaminated 8/24, but not any other day. most likely an error"
64,2,17,Juliana,DA837,ERT250,0,0,0,0,0,"recorded as contaminated 8/24, but not any other day. most likely an error"
64,3,22,Juliana,DA837,ERT250,0,0,0,0,0,"recorded as contaminated 8/24, but not any other day. most likely an error"
64,4,20,Juliana,DA837,ERT250,0,0,0,0,0,"recorded as contaminated 8/24, but not any other day. most likely an error"
64,5,25,Juliana,DA837,ERT250,0,0,0,0,0,"recorded as contaminated 8/24, but not any other day. most likely an error"
64,6,20,Juliana,DA837,ERT250,0,0,0,0,0,"recorded as contaminated 8/24, but not any other day. most likely an error"
65,1,33,Anne,DA837,ERT250,0,0,0,0,0,
65,2,20,Anne,DA837,ERT250,0,0,0,0,0,
65,3,17,Anne,DA837,ERT250,0,0,0,0,0,
65,4,12,Anne,DA837,ERT250,0,0,0,0,0,
65,5,26,Anne,DA837,ERT250,0,0,0,0,0,
65,6,29,Anne,DA837,ERT250,0,0,0,0,0,
66,1,29,Anne,DA837,N2,0,0,0,0,0,
66,2,27,Anne,DA837,N2,0,0,0,0,0,
66,3,20,Anne,DA837,N2,0,0,0,0,0,
66,4,27,Anne,DA837,N2,0,0,0,0,0,
66,5,28,Anne,DA837,N2,0,0,0,0,0,
66,6,31,Anne,DA837,N2,0,0,0,0,0,
67,1,14,Anne,HB101,ERT250,0,0,0,1,0,"pipette was a little leaky, a few drops lost during wash"
67,2,19,Anne,HB101,ERT250,0,0,0,1,0,"pipette was a little leaky, a few drops lost during wash"
67,3,15,Anne,HB101,ERT250,0,0,0,1,0,"pipette was a little leaky, a few drops lost during wash"
67,4,18,Anne,HB101,ERT250,0,0,0,1,0,"pipette was a little leaky, a few drops lost during wash"
67,5,13,Anne,HB101,ERT250,0,0,0,1,0,"pipette was a little leaky, a few drops lost during wash"
67,6,19,Anne,HB101,ERT250,0,0,0,1,0,"pipette was a little leaky, a few drops lost during wash"
68,1,8,Anne,HB101,N2,0,0,0,0,0,
68,2,12,Anne,HB101,N2,0,0,0,0,0,
68,3,9,Anne,HB101,N2,0,0,0,0,0,
68,4,12,Anne,HB101,N2,0,0,0,0,0,
68,5,11,Anne,HB101,N2,0,0,0,0,0,
68,6,12,Anne,HB101,N2,0,0,0,0,0,
69,1,13,Sarah,HB101,N2,0,0,0,0,0,
69,2,23,Sarah,HB101,N2,0,0,0,0,0,
69,3,18,Sarah,HB101,N2,0,0,0,0,0,
69,4,15,Sarah,HB101,N2,0,0,0,0,0,
69,5,20,Sarah,HB101,N2,0,0,0,0,0,
69,6,9,Sarah,HB101,N2,0,0,0,0,0,
70,1,13,Anne,HB101,N2,0,0,0,0,0,
70,2,15,Anne,HB101,N2,0,0,0,0,0,
70,3,13,Anne,HB101,N2,0,0,0,0,0,
70,4,13,Anne,HB101,N2,0,0,0,0,0,
70,5,10,Anne,HB101,N2,0,0,0,0,0,
70,6,17,Anne,HB101,N2,0,0,0,0,0,
71,1,24,Anne,HB101,ERT250,0,0,0,0,0,
71,2,24,Anne,HB101,ERT250,0,0,0,0,0,
71,3,21,Anne,HB101,ERT250,0,0,0,0,0,
71,4,28,Anne,HB101,ERT250,0,0,0,0,0,
71,5,20,Anne,HB101,ERT250,0,0,0,0,0,
71,6,19,Anne,HB101,ERT250,0,0,0,0,0,
72,1,11,Sarah,DA837,ERT250,0,1,0,0,1,"contaminated 8/22, fungus = middle of lawn"
72,2,20,Sarah,DA837,ERT250,0,1,0,0,1,"contaminated 8/22, fungus = middle of lawn"
72,3,20,Sarah,DA837,ERT250,0,1,0,0,1,"contaminated 8/22, fungus = middle of lawn"
72,4,21,Sarah,DA837,ERT250,0,1,0,0,1,"contaminated 8/22, fungus = middle of lawn"
72,5,21,Sarah,DA837,ERT250,0,1,0,0,1,"contaminated 8/22, fungus = middle of lawn"
72,6,19,Sarah,DA837,ERT250,0,1,0,0,1,"contaminated 8/22, fungus = middle of lawn"
73,1,26,Anne,DA837,N2,0,0,0,0,0,
73,2,15,Anne,DA837,N2,0,0,0,0,0,
73,3,19,Anne,DA837,N2,0,0,0,0,0,
73,4,28,Anne,DA837,N2,0,0,0,0,0,
73,5,25,Anne,DA837,N2,0,0,0,0,0,
73,6,20,Anne,DA837,N2,0,0,0,0,0,
74,1,18,Sarah,DA837,ERT250,0,1,0,0,1,contaminated 8/25
74,2,22,Sarah,DA837,ERT250,0,1,0,0,1,contaminated 8/25
74,3,19,Sarah,DA837,ERT250,0,1,0,0,1,contaminated 8/25
